epoch,step,validation/loss,validation_cardinality_error,validation_loss_bbox,validation_loss_ce,validation_loss_giou
0,0,7.366501808166504,74.0,0.6725996732711792,1.294897437095642,1.354303002357483
0,0,4.8335723876953125,72.5,0.31505393981933594,1.2882938385009766,0.9850044846534729
1,1,4.8335723876953125,72.5,0.31505393981933594,1.2882938385009766,0.9850044846534729
1,1,3.695631504058838,71.25,0.1985691785812378,1.240774393081665,0.7310056686401367
2,2,3.695631504058838,71.25,0.1985691785812378,1.240774393081665,0.7310056686401367
2,2,3.7899341583251953,72.25,0.22486348450183868,1.1921045780181885,0.7367562055587769
3,3,3.7899341583251953,72.25,0.22486348450183868,1.1921045780181885,0.7367562055587769
3,3,4.057676792144775,73.0,0.25323107838630676,1.1387674808502197,0.8263769745826721
4,4,4.057676792144775,73.0,0.25323107838630676,1.1387674808502197,0.8263769745826721
4,4,4.18062162399292,73.25,0.2716452479362488,1.1015238761901855,0.8604355454444885
5,5,4.18062162399292,73.25,0.2716452479362488,1.1015238761901855,0.8604355454444885
5,5,4.261240005493164,73.75,0.2701680660247803,1.0745023488998413,0.9179484844207764
